Transaction ID,Customer ID,Product Segment,Region Assignment,Sales Channel,Units Demanded,Unit Price USD,Discount Decimal,Tax Rate,Shipping Fee,Order Open Date,Order Close Date,Customer Age,Lead Source,Priority Status,Warehouse Code,Return Requested,Manager Review,Ghost Column A,Ghost Column B
TXN-10096,CUST-1158,Smart-Phone X,West,Wholesale,6,651.14,0.14,0.08,6.03,2025-10-17,2025-10-26,52,Email Campaign,Low,WH-2,NULL,Pending,NA,Active
TXN-10097,CUST-1350,Premium Laptop,NORTH,Online,NULL,541.67,0.11,0.08,16.38,2025-04-15,2025-04-26,54,NA,Low,WH-1,True,Rejected,NULL,NA
TXN-10098,CUST-1329,Wireless Headphones,North,Wholesale,1,79.23,0.15,0.08,22.72,2025-05-03,2025-05-08,39,Email Campaign,Medium,WH-3,True,Approved,NA,NA
TXN-10099,CUST-1363,Premium Laptop,NORTH,RETAIL,3,174.08,0.25,0.08,29.68,2025-12-10,2025-12-25,34,NA,-,WH-1,NULL,Pending,NA,NULL
TXN-10100,CUST-1392,Smart Watch V2, West,RETAIL,8,86.14,0.1,0.08,39,2025-06-11,2025-06-14,61,NA,Urgent,WH-5,False,Pending,NULL,NULL
TXN-10101,CUST-1238,Smart Watch v2,East,Online,1,781.87,0.05,0.08,12.85,2025-01-05,2025-01-24,29,Email Campaign,Low,WH-5,False,Approved,-,NULL
TXN-10102,CUST-1240,Smart Watch v2, West,Wholesale,4,411.51,0.21,0.08,10.02,2025-02-21,2025-02-28,39,Referral,-,WH-5,False,Rejected,NULL,Active
TXN-10103,CUST-1118,Wireless Head-phones,south,  Online  ,5,634.86,0.25,0.08,43.54,2025-09-17,2025-09-29,48,Email Campaign,-,WH-2,NULL,Rejected,Valid Data,NA
TXN-10104,CUST-1485,Premium Laptop,south,online,7,1093.7,0.03,0.08,9.32,2025-02-05,2025-02-17,39,Web Search,Low,WH-1,NULL,Rejected,Valid Data,NA
TXN-10105,CUST-1114,Smart Watch V2,West,RETAIL,7,336.69,0.07,0.08,24.14,2025-05-26,2025-06-13,54,NA,High,WH-5,True,Approved,Valid Data,Active
TXN-10106,CUST-1073,Premium Laptop,South,Retail,9,521.94,0.04,0.08,28.42,2025-12-27,2026-01-13,55,Social Media,Urgent,WH-3,True,Rejected,NULL,NULL
TXN-10107,CUST-1440,Wireless Headphones,North,online,3,918.88,0.1,0.08,26.65,2025-01-05,2025-01-23,62,NA,High,WH-1,True,Approved,NA,NA
TXN-10108,CUST-1458,Smart Watch v2,West,online,2,313.12,0.14,0.08,8.44,2025-06-03,2025-06-07,51,NA,-,WH-2,True,Pending,NULL,NA
TXN-10109,CUST-1315,Smart Watch v2,North,Retail,1,138.53,0.22,0.08,7.28,2025-03-10,2025-03-14,61,Email Campaign,-,WH-3,False,Approved,Valid Data,NULL
TXN-10110,CUST-1132,Wireless Headphones,West,RETAIL,5,383.21,0.2,0.08,9.22,2025-10-11,2025-10-21,32,Web Search,Urgent,WH-5,NULL,Rejected,Valid Data,NA
TXN-10111,CUST-1467,smartphone X,East,Retail,6,235.4,0.19,0.08,28.42,2025-11-06,2025-11-17,50,Referral,Low,WH-1,False,Approved,-,NULL
TXN-10112,CUST-1186,Smart Watch V2,NORTH,RETAIL,5,1119.15,0.11,0.08,26.77,2025-04-15,2025-04-24,63,Referral,High,WH-5,True,Approved,Valid Data,NULL
TXN-10113,CUST-1200,smartphone X,West,Retail,1,979.34,0.25,0.08,14.35,2025-09-16,2025-09-18,41,Social Media,Urgent,WH-4,NULL,Rejected,NA,NA
TXN-10114,CUST-1093,Tablet Ultra,East,online,6,778.41,0.14,0.08,30.51,2025-02-17,2025-02-26,NULL,Email Campaign,Urgent,WH-1,True,Approved,-,NA
TXN-10115,CUST-1358,Wireless Headphones,West,  Online  ,NA,1052.18,0.29,0.08,37.8,2025-01-23,2025-01-20,42,Referral,Low,WH-5,False,Pending,NULL,NA
TXN-10116,CUST-1469,Smart Watch V2,south,RETAIL,NULL,974.22,0.19,0.08,6.66,2025-11-23,2025-11-29,53,NA,Urgent,WH-4,True,Pending,NULL,NULL
TXN-10117,CUST-1340,Wireless Headphones,NORTH,  Online  ,1,264.56,0.04,0.08,24.93,2025-08-15,2025-08-29,57,Email Campaign,High,WH-5,NULL,Pending,NA,NA
TXN-10118,CUST-1169,Smart-Phone X,East,Retail,10,1076.44,0.2,0.08,32.57,2025-10-15,2025-10-13,49,Social Media,Medium,WH-4,True,Rejected,NULL,NULL
TXN-10119,CUST-1403,Wireless Head-phones,East ,RETAIL,3,670.24,0.1,0.08,15.09,2025-12-20,2026-01-07,36,Referral,High,WH-5,True,Pending,-,NA
TXN-10120,CUST-1440,Wireless Headphones,South,Wholesale,1,978.56,0.21,0.08,17.31,2025-01-19,2025-02-07,32,NA,-,WH-4,True,Approved,Valid Data,NULL
TXN-10121,CUST-1451,Smart Watch v2,NORTH,Wholesale,4,1080.5,0.02,0.08,29.55,2025-10-10,2025-10-15,NULL,NA,High,WH-2,False,Rejected,-,NA
TXN-10122,CUST-1166,Tablet Ultra,NORTH,Wholesale,2,415.7,0.05,0.08,40.92,2025-01-22,2025-01-24,25,NA,High,WH-3,False,Rejected,NULL,Active
TXN-10123,CUST-1232,Smart Watch V2,East ,Wholesale,8,176.56,0.26,0.08,37.4,2025-07-03,2025-07-11,75,Web Search,-,WH-3,False,Rejected,NULL,NULL
TXN-10124,CUST-1249,smartphone X,East,Online,7,312.13,0.07,0.08,28.33,2025-12-08,2025-12-26,54,Referral,Medium,WH-2,True,Approved,NA,NA
TXN-10125,CUST-1015,Tablet Ultra,East ,Online,9,541.17,0.25,0.08,34.21,2025-07-28,2025-08-02,71,Email Campaign,-,WH-5,False,Approved,NULL,NA
TXN-10126,CUST-1033,Wireless Head-phones, West,online,10,990.72,0.08,0.08,19.59,2025-05-02,2025-05-08,48,NA,High,WH-3,False,Rejected,Valid Data,NA
TXN-10127,CUST-1243,Wireless Head-phones,South,online,1,1039.84,0.19,0.08,30.64,2025-07-31,2025-08-11,28,NA,Medium,WH-1,NULL,Approved,NULL,NA
TXN-10128,CUST-1057,Premium Laptop,NORTH,RETAIL,8,57.99,0.21,0.08,23.65,2025-07-30,2025-08-07,51,Web Search,Medium,WH-2,NULL,Approved,NULL,NA
TXN-10129,CUST-1179,Wireless Head-phones,East ,Retail,5,637.36,0.15,0.08,12.6,2025-05-17,2025-05-21,39,Email Campaign,High,WH-3,NULL,Pending,-,NA
TXN-10130,CUST-1245,Smart Watch v2,East,RETAIL,9,530.02,0.09,0.08,33.07,2025-07-15,2025-07-31,35,Email Campaign,Low,WH-4,NULL,Pending,NULL,NULL
TXN-10131,CUST-1236,Tablet Ultra,West,online,10,305.42,0.06,0.08,27.26,2025-04-24,2025-05-09,23,Email Campaign,Low,WH-5,NULL,Rejected,NA,NA
TXN-10132,CUST-1433,smartphone X,South,  Online  ,2,187.85,0.01,0.08,19.34,2025-06-29,2025-07-07,31,Web Search,Medium,WH-3,True,Pending,NULL,NULL
TXN-10133,CUST-1087,smartphone X,NORTH,Retail,10,438.26,0.09,0.08,41.45,2025-04-25,2025-05-02,23,NA,-,WH-5,NULL,Pending,NULL,NA
TXN-10134,CUST-1144,Wireless Headphones,West,Retail,4,1134.35,0.2,0.08,5.84,2025-07-24,2025-07-27,47,Social Media,High,WH-1,True,Rejected,NA,NA
TXN-10135,CUST-1393,Wireless Head-phones,south,online,3,421.68,0.28,0.08,17.63,2025-05-23,2025-06-09,70,NA,Low,WH-3,True,Rejected,NULL,NULL
TXN-10136,CUST-1178,smartphone X,East,Online,2,646.61,0.26,0.08,7.28,2025-07-24,2025-08-11,24,Referral,Low,WH-3,NULL,Pending,-,NA
TXN-10137,CUST-1309,Smart Watch V2,East ,Retail,7,858.47,0.23,0.08,35.66,2025-06-19,2025-06-23,29,Web Search,-,WH-1,NULL,Rejected,NA,NA
TXN-10138,CUST-1294,Smart Watch v2,East,Online,10,468.17,0.24,0.08,33.08,2025-05-14,2025-05-23,74,Email Campaign,-,WH-4,NULL,Approved,-,NA
TXN-10139,CUST-1065,Tablet Ultra,south,online,4,1167.55,0.2,0.08,18.25,2025-01-20,2025-02-03,44,Social Media,High,WH-2,NULL,Approved,-,NULL
TXN-10140,CUST-1260,Wireless Headphones,East ,Wholesale,5,1156.81,0.08,0.08,32.03,2025-06-26,2025-07-07,72,Web Search,-,WH-3,NULL,Rejected,NULL,NA
TXN-10141,CUST-1052,smartphone X,East ,RETAIL,8,339.55,0.27,0.08,20.84,2025-08-12,2025-08-29,24,Web Search,Medium,WH-4,NULL,Pending,NA,NULL
TXN-10142,CUST-1207,Wireless Head-phones,North,  Online  ,9,621.84,0.2,0.08,35.25,2025-03-01,2025-03-20,45,Social Media,Medium,WH-4,NULL,Approved,NULL,NA
TXN-10143,CUST-1418,Wireless Head-phones,West,online,5,396.01,0.17,0.08,23.17,2025-04-08,2025-04-22,38,Referral,Medium,WH-3,True,Approved,-,NA
TXN-10144,CUST-1365,Smart Watch v2,South,  Online  ,3,377.57,0.03,0.08,21.49,2025-01-01,2025-01-19,57,Social Media,Low,WH-5,False,Rejected,-,NULL
TXN-10145,CUST-1407,Wireless Headphones,NORTH,Online,6,92.42,0.13,0.08,42.39,2025-12-18,2025-12-25,72,Referral,Medium,WH-1,False,Pending,NULL,NA
TXN-10146,CUST-1054,Tablet Ultra,South,Retail,10,751,0.14,0.08,15.04,2025-07-06,2025-07-17,73,Web Search,Medium,WH-5,NULL,Approved,-,NULL
TXN-10147,CUST-1166,Smart Watch v2,South,Online,1,628.08,0.26,0.08,9.82,2025-11-16,2025-11-20,24,Referral,Medium,WH-3,True,Rejected,NULL,NULL
TXN-10148,CUST-1284,Smart Watch v2,East ,online,7,109.2,0.16,0.08,28.38,2025-06-03,2025-06-17,67,Referral,Medium,WH-4,True,Pending,NULL,NULL
TXN-10149,CUST-1332,Wireless Head-phones,South,Online,4,370.44,0.11,0.08,43.77,2025-06-17,2025-06-27,20,Email Campaign,High,WH-2,False,Approved,NULL,NULL
TXN-10150,CUST-1036,Smart Watch V2,south,  Online  ,1,1094.51,0.29,0.08,20.11,2025-10-11,2025-10-25,29,NA,Medium,WH-5,True,Approved,Valid Data,NA
