transaction_i_d,customer_i_d,product_segment,region_assignment,sales_channel,units_demanded,unit_price_u_s_d,discount_decimal,tax_rate,shipping_fee,order_open_date,order_close_date,customer_age,lead_source,priority_status,warehouse_code,return_requested,manager_review
TXN-10023,CUST-1263,Smart Watch V2,South,Online,8.0,471.32,0.26,0.08,41.01,2025-05-06,2025-05-19,22,Referral,Low,WH-4,True,Rejected
TXN-10024,CUST-1052,Wireless Headphones,West,Wholesale,9.0,574.48,0.26,0.08,36.69,2025-05-19,2025-06-06,26,Web Search,High,WH-3,True,Rejected
TXN-10025,CUST-1105,Smartphone X,East,Online,9.0,952.95,0.26,0.08,32.05,2025-04-23,2025-04-25,43,Web Search,High,WH-3,True,Rejected
TXN-10026,CUST-1277,Wireless Headphones,North,Wholesale,10.0,279.62,0.07,0.08,32.19,2025-04-28,2025-05-09,66,Email Campaign,Low,WH-3,True,Rejected
TXN-10027,CUST-1179,Smartphone X,South,Retail,1.0,641.37,0.14,0.08,42.84,2025-07-25,2025-08-01,20,Web Search,Medium,WH-4,True,Approved
TXN-10028,CUST-1281,Smartphone X,South,Online,6.0,731.28,0.3,0.08,16.83,2025-10-18,2025-10-29,52,Referral,Medium,WH-3,False,Approved
TXN-10029,CUST-1163,Smart Watch V2,East,Retail,8.0,103.42,0.23,0.08,5.04,2025-04-19,2025-05-02,35,Web Search,Medium,WH-1,False,Pending
TXN-10030,CUST-1138,Smart Watch V2,East,Wholesale,6.0,748.68,0.01,0.08,15.88,2025-11-26,2025-12-05,57,Web Search,Medium,WH-2,True,Rejected
TXN-10031,CUST-1072,Tablet Ultra,East,Online,2.0,246.1,0.02,0.08,13.72,2025-03-13,2025-03-31,36,Social Media,Urgent,WH-3,True,Approved
TXN-10032,CUST-1482,Wireless Headphones,West,Wholesale,9.0,124.81,0.14,0.08,31.47,2025-10-03,2025-10-22,73,Web Search,Urgent,WH-4,False,Approved
TXN-10033,CUST-1360,Smart Watch V2,North,Retail,9.0,1141.22,0.27,0.08,30.35,2025-08-08,2025-08-21,28,Email Campaign,Medium,WH-4,False,Rejected
TXN-10034,CUST-1411,Smart Watch V2,South,Retail,9.0,1160.48,0.16,0.08,28.74,2025-07-05,2025-07-10,20,Email Campaign,Low,WH-3,False,Approved
TXN-10035,CUST-1145,Wireless Headphones,West,Online,2.0,979.66,0.15,0.08,5.65,2025-09-18,2025-09-20,69,Referral,Low,WH-1,True,Pending
TXN-10036,CUST-1293,Wireless Headphones,East,Online,8.0,400.31,0.03,0.08,34.15,2025-02-26,2025-03-04,28,Social Media,Urgent,WH-1,False,Pending
TXN-10037,CUST-1125,Premium Laptop,West,Retail,4.0,162.32,0.2,0.08,17.94,2025-12-15,2025-12-18,52,Web Search,Medium,WH-1,True,Pending
TXN-10038,CUST-1087,Premium Laptop,North,Retail,7.0,836.87,0.25,0.08,31.6,2025-07-17,2025-08-01,64,Social Media,Medium,WH-4,False,Approved
TXN-10039,CUST-1036,Smart Watch V2,East,Wholesale,8.0,556.18,0.11,0.08,27.26,2025-09-28,2025-10-16,62,Referral,High,WH-5,True,Approved
TXN-10040,CUST-1159,Smartphone X,East,Retail,3.0,190.34,0.23,0.08,18.71,2025-01-06,2025-01-10,36,Referral,Urgent,WH-4,False,Rejected
TXN-10041,CUST-1313,Smart Watch V2,South,Online,2.0,619.45,0.29,0.08,10.38,2025-12-16,2025-12-25,37,Email Campaign,Medium,WH-3,True,Approved
TXN-10042,CUST-1456,Smart Watch V2,West,Online,10.0,89.55,0.06,0.08,8.78,2025-11-25,2025-12-05,39,Referral,Medium,WH-5,True,Rejected
TXN-10043,CUST-1173,Wireless Headphones,East,Retail,9.0,1095.72,0.16,0.08,38.26,2025-08-11,2025-08-12,57,Web Search,Low,WH-4,True,Pending
TXN-10044,CUST-1276,Smart Watch V2,North,Retail,7.0,347.6,0.09,0.08,41.74,2025-05-15,2025-05-21,58,Referral,Urgent,WH-5,True,Pending
TXN-10045,CUST-1227,Smart Watch V2,West,Online,7.0,811.9,0.24,0.08,30.99,2025-09-17,2025-09-27,23,Social Media,Urgent,WH-2,True,Pending
TXN-10046,CUST-1025,Smart Watch V2,South,Wholesale,1.0,408.47,0.17,0.08,9.14,2025-11-24,2025-12-01,46,Web Search,Medium,WH-3,False,Approved
TXN-10047,CUST-1066,Premium Laptop,North,Retail,7.0,648.08,0.19,0.08,21.08,2025-03-20,2025-03-26,50,Email Campaign,Medium,WH-1,True,Pending
TXN-10048,CUST-1014,Premium Laptop,South,Online,5.0,678.72,0.24,0.08,34.16,2025-10-04,2025-10-21,69,Web Search,High,WH-3,True,Rejected
TXN-10049,CUST-1241,Smartphone X,South,Retail,3.0,262.58,0.12,0.08,36.19,2025-01-01,2025-01-17,20,Web Search,Medium,WH-1,True,Pending
TXN-10050,CUST-1462,Wireless Headphones,South,Online,4.0,1165.02,0.27,0.08,9.73,2025-01-10,2025-01-22,46,Social Media,Medium,WH-4,True,Approved
TXN-10051,CUST-1345,Smartphone X,South,Online,6.0,941.4,0.16,0.08,5.0,2025-06-07,2025-06-15,29,Email Campaign,Medium,WH-4,True,Rejected
TXN-10052,CUST-1025,Smart Watch V2,West,Online,4.0,1130.42,0.05,0.08,33.49,2025-10-18,2025-10-21,52,Referral,High,WH-3,True,Rejected
TXN-10053,CUST-1054,Smart Watch V2,West,Retail,10.0,1079.05,0.21,0.08,19.26,2025-09-06,2025-09-24,42,Social Media,Urgent,WH-3,True,Approved
TXN-10054,CUST-1196,Smartphone X,North,Online,10.0,737.58,0.24,0.08,15.18,2025-03-06,2025-03-22,52,Email Campaign,Low,WH-3,True,Approved
TXN-10055,CUST-1027,Wireless Headphones,West,Online,3.0,1110.16,0.1,0.08,5.52,2025-10-09,2025-10-26,60,Web Search,Low,WH-1,True,Rejected
TXN-10056,CUST-1044,Smart Watch V2,North,Online,3.0,151.77,0.26,0.08,26.61,2025-11-07,2025-11-14,57,Web Search,High,WH-2,True,Pending
TXN-10057,CUST-1218,Smart Watch V2,South,Online,9.0,275.38,0.27,0.08,39.05,2025-10-04,2025-10-11,42,Web Search,Medium,WH-2,True,Approved
TXN-10058,CUST-1200,Smartphone X,East,Retail,1.0,102.01,0.08,0.08,43.31,2026-01-01,2026-01-13,57,Web Search,Low,WH-3,False,Pending
TXN-10059,CUST-1091,Smart Watch V2,East,Retail,9.0,424.13,0.3,0.08,27.63,2025-08-13,2025-08-28,58,Social Media,Medium,WH-3,True,Approved
TXN-10060,CUST-1360,Smart Watch V2,West,Retail,2.0,496.98,0.04,0.08,25.58,2025-03-03,2025-03-06,47,Email Campaign,Medium,WH-3,False,Rejected
TXN-10061,CUST-1305,Smart Watch V2,East,Retail,6.0,362.05,0.06,0.08,8.4,2025-06-23,2025-07-11,52,Email Campaign,Medium,WH-1,True,Rejected
TXN-10062,CUST-1456,Smartphone X,North,Online,4.0,1003.05,0.06,0.08,26.95,2025-04-28,2025-04-29,52,Social Media,Low,WH-5,False,Pending
TXN-10063,CUST-1303,Premium Laptop,East,Retail,3.0,460.27,0.27,0.08,20.2,2025-02-06,2025-02-08,57,Web Search,High,WH-5,False,Pending
TXN-10064,CUST-1322,Smart Watch V2,South,Online,5.0,373.07,0.2,0.08,29.29,2025-04-28,2025-04-30,45,Email Campaign,Medium,WH-5,True,Pending
TXN-10065,CUST-1428,Wireless Headphones,South,Online,4.0,674.1,0.05,0.08,20.55,2025-06-19,2025-06-27,63,Referral,Medium,WH-4,True,Pending
TXN-10066,CUST-1353,Smart Watch V2,South,Retail,1.0,212.06,0.13,0.08,14.61,2025-05-23,2025-05-30,71,Web Search,Medium,WH-3,True,Rejected
TXN-10067,CUST-1358,Smart Watch V2,East,Online,8.0,972.53,0.18,0.08,8.8,2025-10-04,2025-10-23,38,Referral,Medium,WH-1,True,Approved
TXN-10068,CUST-1228,Wireless Headphones,East,Online,7.0,135.73,0.03,0.08,17.6,2025-10-23,2025-11-08,30,Email Campaign,Medium,WH-2,False,Approved
TXN-10069,CUST-1315,Wireless Headphones,North,Retail,15.5,1184.92,0.26,0.08,8.87,2025-07-28,2025-08-01,65,Social Media,Urgent,WH-2,False,Rejected
TXN-10070,CUST-1182,Wireless Headphones,East,Online,4.0,938.08,0.24,0.08,12.08,2025-12-04,2025-12-18,28,Web Search,Medium,WH-2,True,Rejected
TXN-10071,CUST-1159,Premium Laptop,West,Retail,8.0,278.52,0.15,0.08,44.49,2025-07-30,2025-08-01,18,Web Search,Urgent,WH-5,True,Rejected
TXN-10072,CUST-1170,Premium Laptop,South,Online,4.0,56.35,0.29,0.08,22.76,2025-12-11,2025-12-15,29,Web Search,Medium,WH-4,False,Pending
TXN-10073,CUST-1418,Premium Laptop,South,Online,7.0,987.78,0.13,0.08,26.27,2025-02-01,2025-02-12,68,Referral,Medium,WH-5,True,Rejected
TXN-10074,CUST-1101,Smartphone X,West,Retail,2.0,862.89,0.3,0.08,39.94,2025-02-25,2025-03-04,21,Email Campaign,High,WH-4,True,Approved
TXN-10075,CUST-1365,Wireless Headphones,South,Retail,3.0,888.36,0.2,0.08,44.82,2025-10-02,2025-10-16,74,Referral,Medium,WH-1,True,Pending
TXN-10076,CUST-1388,Wireless Headphones,East,Online,10.0,936.96,0.19,0.08,28.31,2025-04-04,2025-04-12,28,Social Media,Medium,WH-5,True,Pending
TXN-10077,CUST-1343,Premium Laptop,East,Wholesale,2.0,135.15,0.05,0.08,37.5,2025-02-08,2025-02-26,42,Web Search,High,WH-2,True,Pending
TXN-10078,CUST-1414,Wireless Headphones,North,Wholesale,4.0,462.24,0.26,0.08,18.08,2025-02-20,2025-03-10,57,Referral,Urgent,WH-3,True,Approved
TXN-10079,CUST-1273,Smart Watch V2,West,Retail,8.0,183.25,0.13,0.08,17.23,2025-01-08,2025-01-16,47,Referral,Medium,WH-4,False,Rejected
TXN-10080,CUST-1040,Smartphone X,South,Retail,6.0,1042.57,0.05,0.08,21.11,2025-03-27,2025-04-12,19,Web Search,Low,WH-1,False,Rejected
TXN-10081,CUST-1498,Smart Watch V2,South,Wholesale,6.0,1820.19,0.0,0.08,-15.618750000000006,2025-04-20,2025-04-22,28,Email Campaign,High,WH-1,True,Pending
TXN-10082,CUST-1472,Wireless Headphones,North,Retail,4.0,430.53,0.17,0.08,32.29,2025-03-26,2025-04-08,52,Web Search,Low,WH-4,True,Approved
TXN-10083,CUST-1386,Wireless Headphones,East,Wholesale,9.0,123.09,0.16,0.08,17.61,2025-05-16,2025-05-31,65,Referral,Medium,WH-1,True,Pending
TXN-10084,CUST-1391,Smart Watch V2,West,Retail,5.0,407.63,0.22,0.08,10.33,2025-05-27,2025-06-14,41,Web Search,Urgent,WH-2,True,Pending
TXN-10085,CUST-1238,Wireless Headphones,East,Wholesale,8.0,423.96,0.27,0.08,30.3,2025-12-05,2025-12-10,29,Web Search,High,WH-4,True,Pending
TXN-10086,CUST-1290,Premium Laptop,South,Retail,5.0,889.05,0.02,0.08,10.13,2025-04-08,2025-04-10,43,Referral,Medium,WH-2,True,Approved
TXN-10087,CUST-1067,Tablet Ultra,North,Online,7.0,1820.19,0.22,0.08,-15.618750000000006,2025-10-24,2025-10-26,43,Referral,Urgent,WH-1,False,Rejected
TXN-10088,CUST-1047,Tablet Ultra,North,Wholesale,2.0,1070.29,0.06,0.08,32.74,2025-06-10,2025-06-29,40,Web Search,Urgent,WH-5,True,Rejected
TXN-10089,CUST-1416,Tablet Ultra,South,Online,5.0,593.05,0.26,0.08,33.02,2025-09-02,2025-09-19,57,Web Search,Urgent,WH-3,False,Rejected
TXN-10090,CUST-1410,Wireless Headphones,South,Online,7.0,187.53,0.25,0.08,35.14,2025-03-22,2025-04-08,58,Web Search,Urgent,WH-3,True,Rejected
TXN-10091,CUST-1470,Smartphone X,North,Online,5.0,870.23,0.16,0.08,39.91,2025-02-11,2025-02-14,26,Web Search,Low,WH-2,True,Approved
TXN-10092,CUST-1357,Smartphone X,South,Retail,2.0,924.9,0.21,0.08,25.0,2025-11-01,2025-11-09,65,Web Search,Medium,WH-2,False,Approved
TXN-10093,CUST-1239,Wireless Headphones,East,Online,7.0,695.47,0.09,0.08,34.21,2025-07-26,2025-08-14,35,Referral,Urgent,WH-5,True,Pending
TXN-10094,CUST-1049,Smartphone X,East,Online,1.0,936.61,0.14,0.08,29.77,2025-05-07,2025-05-09,71,Email Campaign,Medium,WH-4,False,Approved
TXN-10095,CUST-1233,Wireless Headphones,North,Online,5.0,617.86,0.25,0.08,12.47,2025-11-14,2025-12-03,73,Referral,Medium,WH-1,False,Pending
TXN-10096,CUST-1158,Smartphone X,West,Wholesale,6.0,651.14,0.14,0.08,6.03,2025-10-17,2025-10-26,52,Email Campaign,Low,WH-2,True,Pending
TXN-10097,CUST-1350,Premium Laptop,North,Online,5.0,541.67,0.11,0.08,16.38,2025-04-15,2025-04-26,54,Web Search,Low,WH-1,True,Rejected
TXN-10098,CUST-1329,Wireless Headphones,North,Wholesale,1.0,79.23,0.15,0.08,22.72,2025-05-03,2025-05-08,39,Email Campaign,Medium,WH-3,True,Approved
TXN-10099,CUST-1363,Premium Laptop,North,Retail,3.0,174.08,0.25,0.08,29.68,2025-12-10,2025-12-25,34,Web Search,Medium,WH-1,True,Pending
TXN-10100,CUST-1392,Smart Watch V2,West,Retail,8.0,86.14,0.1,0.08,39.0,2025-06-11,2025-06-14,61,Web Search,Urgent,WH-5,False,Pending
TXN-10101,CUST-1238,Smart Watch V2,East,Online,1.0,781.87,0.05,0.08,12.85,2025-01-05,2025-01-24,29,Email Campaign,Low,WH-5,False,Approved
TXN-10102,CUST-1240,Smart Watch V2,West,Wholesale,4.0,411.51,0.21,0.08,10.02,2025-02-21,2025-02-28,39,Referral,Medium,WH-5,False,Rejected
TXN-10103,CUST-1118,Wireless Headphones,South,Online,5.0,634.86,0.25,0.08,43.54,2025-09-17,2025-09-29,48,Email Campaign,Medium,WH-2,True,Rejected
TXN-10104,CUST-1485,Premium Laptop,South,Online,7.0,1093.7,0.03,0.08,9.32,2025-02-05,2025-02-17,39,Web Search,Low,WH-1,True,Rejected
TXN-10105,CUST-1114,Smart Watch V2,West,Retail,7.0,336.69,0.07,0.08,24.14,2025-05-26,2025-06-13,54,Web Search,High,WH-5,True,Approved
TXN-10106,CUST-1073,Premium Laptop,South,Retail,9.0,521.94,0.04,0.08,28.42,2025-12-27,2026-01-13,55,Social Media,Urgent,WH-3,True,Rejected
TXN-10107,CUST-1440,Wireless Headphones,North,Online,3.0,918.88,0.1,0.08,26.65,2025-01-05,2025-01-23,62,Web Search,High,WH-1,True,Approved
TXN-10108,CUST-1458,Smart Watch V2,West,Online,2.0,313.12,0.14,0.08,8.44,2025-06-03,2025-06-07,51,Web Search,Medium,WH-2,True,Pending
TXN-10109,CUST-1315,Smart Watch V2,North,Retail,1.0,138.53,0.22,0.08,7.28,2025-03-10,2025-03-14,61,Email Campaign,Medium,WH-3,False,Approved
TXN-10110,CUST-1132,Wireless Headphones,West,Retail,5.0,383.21,0.2,0.08,9.22,2025-10-11,2025-10-21,32,Web Search,Urgent,WH-5,True,Rejected
TXN-10111,CUST-1467,Smartphone X,East,Retail,6.0,235.4,0.19,0.08,28.42,2025-11-06,2025-11-17,50,Referral,Low,WH-1,False,Approved
TXN-10112,CUST-1186,Smart Watch V2,North,Retail,5.0,1119.15,0.11,0.08,26.77,2025-04-15,2025-04-24,63,Referral,High,WH-5,True,Approved
TXN-10113,CUST-1200,Smartphone X,West,Retail,1.0,979.34,0.25,0.08,14.35,2025-09-16,2025-09-18,41,Social Media,Urgent,WH-4,True,Rejected
TXN-10114,CUST-1093,Tablet Ultra,East,Online,6.0,778.41,0.14,0.08,30.51,2025-02-17,2025-02-26,28,Email Campaign,Urgent,WH-1,True,Approved
TXN-10115,CUST-1358,Wireless Headphones,West,Online,5.0,1052.18,0.29,0.08,37.8,2025-01-20,2025-01-23,42,Referral,Low,WH-5,False,Pending
TXN-10116,CUST-1469,Smart Watch V2,South,Retail,5.0,974.22,0.19,0.08,6.66,2025-11-23,2025-11-29,53,Web Search,Urgent,WH-4,True,Pending
TXN-10117,CUST-1340,Wireless Headphones,North,Online,1.0,264.56,0.04,0.08,24.93,2025-08-15,2025-08-29,57,Email Campaign,High,WH-5,True,Pending
TXN-10118,CUST-1169,Smartphone X,East,Retail,10.0,1076.44,0.2,0.08,32.57,2025-10-13,2025-10-15,49,Social Media,Medium,WH-4,True,Rejected
TXN-10119,CUST-1403,Wireless Headphones,East,Retail,3.0,670.24,0.1,0.08,15.09,2025-12-20,2026-01-07,36,Referral,High,WH-5,True,Pending
TXN-10120,CUST-1440,Wireless Headphones,South,Wholesale,1.0,978.56,0.21,0.08,17.31,2025-01-19,2025-02-07,32,Web Search,Medium,WH-4,True,Approved
TXN-10121,CUST-1451,Smart Watch V2,North,Wholesale,4.0,1080.5,0.02,0.08,29.55,2025-10-10,2025-10-15,28,Web Search,High,WH-2,False,Rejected
TXN-10122,CUST-1166,Tablet Ultra,North,Wholesale,2.0,415.7,0.05,0.08,40.92,2025-01-22,2025-01-24,25,Web Search,High,WH-3,False,Rejected
TXN-10123,CUST-1232,Smart Watch V2,East,Wholesale,8.0,176.56,0.26,0.08,37.4,2025-07-03,2025-07-11,75,Web Search,Medium,WH-3,False,Rejected
TXN-10124,CUST-1249,Smartphone X,East,Online,7.0,312.13,0.07,0.08,28.33,2025-12-08,2025-12-26,54,Referral,Medium,WH-2,True,Approved
TXN-10125,CUST-1015,Tablet Ultra,East,Online,9.0,541.17,0.25,0.08,34.21,2025-07-28,2025-08-02,71,Email Campaign,Medium,WH-5,False,Approved
TXN-10126,CUST-1033,Wireless Headphones,West,Online,10.0,990.72,0.08,0.08,19.59,2025-05-02,2025-05-08,48,Web Search,High,WH-3,False,Rejected
TXN-10127,CUST-1243,Wireless Headphones,South,Online,1.0,1039.84,0.19,0.08,30.64,2025-07-31,2025-08-11,28,Web Search,Medium,WH-1,True,Approved
TXN-10128,CUST-1057,Premium Laptop,North,Retail,8.0,57.99,0.21,0.08,23.65,2025-07-30,2025-08-07,51,Web Search,Medium,WH-2,True,Approved
TXN-10129,CUST-1179,Wireless Headphones,East,Retail,5.0,637.36,0.15,0.08,12.6,2025-05-17,2025-05-21,39,Email Campaign,High,WH-3,True,Pending
TXN-10130,CUST-1245,Smart Watch V2,East,Retail,9.0,530.02,0.09,0.08,33.07,2025-07-15,2025-07-31,35,Email Campaign,Low,WH-4,True,Pending
TXN-10131,CUST-1236,Tablet Ultra,West,Online,10.0,305.42,0.06,0.08,27.26,2025-04-24,2025-05-09,23,Email Campaign,Low,WH-5,True,Rejected
TXN-10132,CUST-1433,Smartphone X,South,Online,2.0,187.85,0.01,0.08,19.34,2025-06-29,2025-07-07,31,Web Search,Medium,WH-3,True,Pending
TXN-10133,CUST-1087,Smartphone X,North,Retail,10.0,438.26,0.09,0.08,41.45,2025-04-25,2025-05-02,23,Web Search,Medium,WH-5,True,Pending
TXN-10134,CUST-1144,Wireless Headphones,West,Retail,4.0,1134.35,0.2,0.08,5.84,2025-07-24,2025-07-27,47,Social Media,High,WH-1,True,Rejected
TXN-10135,CUST-1393,Wireless Headphones,South,Online,3.0,421.68,0.28,0.08,17.63,2025-05-23,2025-06-09,70,Web Search,Low,WH-3,True,Rejected
TXN-10136,CUST-1178,Smartphone X,East,Online,2.0,646.61,0.26,0.08,7.28,2025-07-24,2025-08-11,24,Referral,Low,WH-3,True,Pending
TXN-10137,CUST-1309,Smart Watch V2,East,Retail,7.0,858.47,0.23,0.08,35.66,2025-06-19,2025-06-23,29,Web Search,Medium,WH-1,True,Rejected
TXN-10138,CUST-1294,Smart Watch V2,East,Online,10.0,468.17,0.24,0.08,33.08,2025-05-14,2025-05-23,74,Email Campaign,Medium,WH-4,True,Approved
TXN-10139,CUST-1065,Tablet Ultra,South,Online,4.0,1167.55,0.2,0.08,18.25,2025-01-20,2025-02-03,44,Social Media,High,WH-2,True,Approved
TXN-10140,CUST-1260,Wireless Headphones,East,Wholesale,5.0,1156.81,0.08,0.08,32.03,2025-06-26,2025-07-07,72,Web Search,Medium,WH-3,True,Rejected
TXN-10141,CUST-1052,Smartphone X,East,Retail,8.0,339.55,0.27,0.08,20.84,2025-08-12,2025-08-29,24,Web Search,Medium,WH-4,True,Pending
TXN-10142,CUST-1207,Wireless Headphones,North,Online,9.0,621.84,0.2,0.08,35.25,2025-03-01,2025-03-20,45,Social Media,Medium,WH-4,True,Approved
TXN-10143,CUST-1418,Wireless Headphones,West,Online,5.0,396.01,0.17,0.08,23.17,2025-04-08,2025-04-22,38,Referral,Medium,WH-3,True,Approved
TXN-10144,CUST-1365,Smart Watch V2,South,Online,3.0,377.57,0.03,0.08,21.49,2025-01-01,2025-01-19,57,Social Media,Low,WH-5,False,Rejected
TXN-10145,CUST-1407,Wireless Headphones,North,Online,6.0,92.42,0.13,0.08,42.39,2025-12-18,2025-12-25,72,Referral,Medium,WH-1,False,Pending
TXN-10146,CUST-1054,Tablet Ultra,South,Retail,10.0,751.0,0.14,0.08,15.04,2025-07-06,2025-07-17,73,Web Search,Medium,WH-5,True,Approved
TXN-10147,CUST-1166,Smart Watch V2,South,Online,1.0,628.08,0.26,0.08,9.82,2025-11-16,2025-11-20,24,Referral,Medium,WH-3,True,Rejected
TXN-10148,CUST-1284,Smart Watch V2,East,Online,7.0,109.2,0.16,0.08,28.38,2025-06-03,2025-06-17,67,Referral,Medium,WH-4,True,Pending
TXN-10149,CUST-1332,Wireless Headphones,South,Online,4.0,370.44,0.11,0.08,43.77,2025-06-17,2025-06-27,20,Email Campaign,High,WH-2,False,Approved
TXN-10150,CUST-1036,Smart Watch V2,South,Online,1.0,1094.51,0.29,0.08,20.11,2025-10-11,2025-10-25,29,Web Search,Medium,WH-5,True,Approved
TXN-10151,CUST-1405,Smartphone X,South,Retail,1.0,325.5,0.03,0.08,7.48,2025-12-07,2025-12-13,57,Web Search,Medium,WH-3,False,Rejected
TXN-10152,CUST-1154,Premium Laptop,South,Online,4.0,216.63,0.13,0.08,18.57,2025-11-12,2025-11-25,25,Web Search,Low,WH-1,True,Rejected
TXN-10153,CUST-1272,Smartphone X,South,Retail,6.0,1820.19,0.01,0.08,-15.618750000000006,2025-10-08,2025-10-18,51,Web Search,High,WH-3,True,Approved
TXN-10154,CUST-1236,Smart Watch V2,North,Retail,5.0,1183.5,0.22,0.08,11.48,2025-05-27,2025-06-15,21,Web Search,High,WH-5,False,Rejected
TXN-10155,CUST-1205,Tablet Ultra,East,Retail,6.0,328.36,0.28,0.08,31.32,2025-11-07,2025-11-22,71,Social Media,Medium,WH-5,False,Rejected
TXN-10156,CUST-1302,Smart Watch V2,West,Online,10.0,822.96,0.08,0.08,44.91,2025-08-15,2025-08-22,48,Email Campaign,Low,WH-1,False,Approved
TXN-10157,CUST-1211,Wireless Headphones,North,Online,4.0,925.86,0.26,0.08,23.07,2025-09-19,2025-09-25,28,Web Search,Low,WH-2,True,Rejected
TXN-10158,CUST-1122,Smart Watch V2,North,Wholesale,5.0,323.28,0.09,0.08,19.19,2025-12-04,2025-12-21,72,Email Campaign,Low,WH-4,False,Approved
TXN-10159,CUST-1317,Premium Laptop,South,Retail,2.0,887.45,0.27,0.08,21.03,2025-12-06,2025-12-17,53,Email Campaign,High,WH-1,True,Pending
TXN-10160,CUST-1124,Tablet Ultra,East,Online,9.0,472.95,0.23,0.08,9.61,2025-02-17,2025-02-25,40,Web Search,High,WH-2,True,Approved
TXN-10161,CUST-1280,Wireless Headphones,West,Online,6.0,777.15,0.24,0.08,40.33,2025-12-11,2025-12-18,74,Web Search,Medium,WH-5,True,Pending
